#Killallzombies (USA)|PCSE00965
#Killallzombies Companion App (Europe)|PCSB00856
Geten no Hana with Yume Akari - Aizouban (Japan)|PCSG00921
Getsuei Gakuen - Kou (Japan)|PCSG90098
Getsuei no Kusari - Kouran Moratorium (Japan)|PCSG00991
Getsuei no Kusari - Sakuran Paranoia (Japan)|PCSG00794
Ghoulboy - Dark Sword of Goblin (USA)|PCSE01340
Ginsei Igo - Next Generation (Japan)|PCSG00419
Ginsei Shogi - Kyoutendo Toufuu Raijin (Japan)|PCSG00084
Gintama Rumble (Japan)|PCSG01073
Girls und Panzer - Senshado, Kiwamemasu! (Japan)|PCSG00339
Gnosia (Japan)|PCSG01277
Gochuumon wa Usagi Desu ka - Wonderful Party! (Japan)|PCSG00786
God Eater 2 - Rage Burst (USA)|PCSE00789
God Eater Off Shot Vol.2 - Lindow Version (Japan)|PCSG00720
God Eater Off Shot Vol.3 - Alisa Version (Japan)|PCSG00721
God Eater Off Shot Vol.4 - Soma Schicksal Version (Japan)|PCSG00722
God Eater Off Shot Vol.5 - Shio Version (Japan)|PCSG00723
God Eater Off Shot Vol.6 - Kota Fujiki Version (Japan)|PCSG00724
God Eater Off Shot Vol.7 - Sakuya Tachibana Version (Japan)|PCSG00725
God Eater Resurrection (USA)|PCSE00801
God of War Collection (USA) (En,Fr,Es)|PCSA00126
God Wars - Future Past (USA)|PCSE01026
God Wars - The Complete Legend (Asia)|PCSH10126
Gods of Almagest (USA)|PCSE01503
Goes! (Japan)|PCSG00367
Goetia - The Infinite Tower (Japan)|PCSG01117
Golden Time - Vivid Memories (Japan)|PCSG00218
Grand Kingdom (USA)|PCSE00879
Grand Theft Auto - iFruit (USA) (En,Fr,Es,Pt)|PCSE00348
Grass Cutter (USA)|PCSE01408
Grass Cutter - Mutated Lawns (Europe) (En,Fr,De,Es,It,Ru)|PCSB01372
Gravity Badgers (USA) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Ru)|PCSE00487
Gravity Crash Ultra (USA) (En,Fr,Es,Pt)|PCSE00439
Gravity Duck (USA)|PCSE01384
Gravity Rush (USA) (En,Fr,Es,Pt)|PCSA00011
Green Game - Timeswapper (USA)|PCSE00875
Grim Fandango Remastered (USA) (En,Fr,De,Es,It,Pt)|PCSE00547
Grisaia no Kajitsu - Le Fruit de la Grisaia (Japan)|PCSG00206
Grisaia no Kajitsu - Side Episode (Japan)|PCSG01095
Grisaia no Kajitsu Spinout! - Idol Mahou Shoujo ChiruChiru Michiru (Japan)|PCSG00620
Grisaia no Meikyuu - Le Labyrinthe de la Grisaia (Japan)|PCSG00421
Grisaia no Rakuen - Le Eden de la Grisaia (Japan)|PCSG00508
Grisaia Phantom Trigger 01 & 02 (Japan)|PCSG01149
Grisaia Phantom Trigger 03 & 04 (Japan)|PCSG01218
Guacamelee! (USA) (En,Ja,Fr,De,Es,It,Pt)|PCSE00033
Guard Duty (USA) (En,Fr,De,Es)|PCSE01450
Guardian Hearts Online (Japan)|PCSG00066
Guilty Gear XX Accent Core Plus R (USA) (En,Ja,Fr,De,Es,It,Pt)|PCSE00137
Gun Gun Pixies (Japan)|PCSG01013
Gundam Battle Destiny (Japan)|PCSG00040
Gundam Breaker (Japan)|PCSG00126
Gundam Breaker 2 (Asia)|PCSH00132
Gundam Breaker 3 - Break Edition (Asia) (En)|PCSH10042
Gundam Conquest V (Japan)|PCSG00657
Gundemoniums (USA)|PCSE01283
Gunhouse (USA)|PCSE01157
Gunka o Haita Neko (Japan)|PCSG01289
Gunslugs (USA)|PCSE00340
Habroxia (USA)|PCSE01396
Habroxia 2 (Europe)|PCSB01466
Hakuisei Aijou Izonshou (Japan)|PCSG00577
Hakuisei Renai Shoukougun Re-Therapy (Japan)|PCSG01275
Hakuoki - Edo Blossoms (USA)|PCSE01001
Hakuoki - Kyoto Winds (USA)|PCSE00973
Hakuouki - Kyouka Roku (Japan)|PCSG00217
Hakuouki SSL - Sweet School Life (Japan)|PCSG00297
Halloween Forever (USA)|PCSE01258
Hanasaki Work Spring! (Japan)|PCSG01024
Hanasaku Manimani (Japan)|PCSG00366
Hanayaka Nari Waga Ichizoku Modern Nostalgie (Japan)|PCSG00470
Hanayamata - Yosakoi Live! (Japan)|PCSG00451
Handball 16 (USA)|PCSE00681
Harukanaru Toki no Naka de 3 Ultimate (Japan)|PCSG00992
Harukanaru Toki no Naka de 6 (Japan)|PCSG00542
Harukanaru Toki no Naka de 6 - Gentou Rondo (Japan)|PCSG00975
Harukanaru Toki no Naka de Ultimate (Japan)|PCSG01157
Haruoto Alice & Gram - Snow Drop (Japan)|PCSG01252
Harvest OverRay (Japan)|PCSG00559
Hatoful Boyfriend (USA)|PCSE00653
Hatoful Boyfriend - Holiday Star (USA)|PCSE00776
Hatsujou Sprinkle (Japan)|PCSG01229
Hatsune Miku - Project Diva F (USA)|PCSE00326
Hatsune Miku - Project Diva F 2nd (USA)|PCSE00434
Hatsune Miku - Project Diva X (USA)|PCSE00867
Hatsuru Kotonaki Mirai Yori (Japan)|PCSG00988
Hatsuyuki Sakura (Japan)|PCSG00997
HD Adventures of Rotating Octopus Character, The (USA)|PCSE00259
Heiligenstadt no Uta (Japan)|PCSG01070
Helldivers (USA)|PCSA00134
Hello Lady! Superior Dynamis (Japan)|PCSG01039
Heroes of Loot (USA)|PCSE00666
Heroes Trials (USA)|PCSE01256
Hideboh - Tap Dance Hero (Japan)|PCSG00388
High School DxD - New Fight (Japan)|PCSG00406
Higurashi no Naku Koro ni Sui (Japan)|PCSG00517
Himawari - Pebble in the Sky (Japan)|PCSG00639
Himno (USA)|PCSE01427
Himoutou! Umaru-Chan - Himoutou Ikusei Keikaku (Japan)|PCSG00688
Hinemosu Shikihime (Japan)|PCSG01239
History - Legends of War (Europe)|PCSB00198
Hitman GO - Definitive Edition (USA)|PCSE00846
Hitotsu Tobashi Renai V (Japan)|PCSG00506
Hoggy 2 (USA)|PCSE01383
Hohokum (USA) (En,Fr,Es,Pt)|PCSA00123
Hole New World, A (USA) (En,Fr,De,Es,It)|PCSE01095
Home - A Unique Horror Adventure (USA)|PCSE00533
Hoshi Ori Yume Mirai - Converted Edition (Japan)|PCSG00926
Hot Shots Golf - World Invitational (USA)|PCSA00009
Hotchkiss (Japan)|PCSG00200
Hotline Miami (USA) (En,Fr,De,Es,Pt)|PCSE00249
Hotline Miami - Collected Edition (Japan)|PCSG00601
Hotline Miami 2 - Wrong Number (USA) (En,Fr,De,Es,Pt)|PCSE00402
House in Fata Morgana, The (USA)|PCSE01305
HP0700-PCSH10041_00-GUNDAMBREAKER3VM (Asia)|PCSH10041
HP1422-PCSH10053_00-0000000000000000 (Asia)|PCSH10053
HP2005-PCSH10171_00-PICAPIXPIECESASI (Asia)|PCSH10171
HP2005-PCSH10172_00-PICAPIXCLASSICAS (Asia)|PCSH10172
HP2005-PCSH10173_00-FILLAPIXPHEAASIA (Asia)|PCSH10173
HP2005-PCSH10174_00-BLOCKAPIXDELUXE0 (Asia)|PCSH10174
HP2005-PCSH10198_00-GUARDDUTYASIA000 (Asia)|PCSH10198
HP2005-PCSH10201_00-SUPERDESTRONAUTL (Asia)|PCSH10201
HP2005-PCSH10208_00-LINKAPIXDELUXE00 (Asia)|PCSH10208
HP2005-PCSH10214_00-PICAPIXCLASSIC20 (Asia)|PCSH10214
HP2005-PCSH10224_00-MILESKILO0000000 (Asia)|PCSH10224
HP2005-PCSH10235_00-BLINDMEN00000000 (Asia)|PCSH10235
HP2005-PCSH10236_00-THUNDERPAW000000 (Asia)|PCSH10236
HP2005-PCSH10238_00-EPICWORDSEARCH00 (Asia)|PCSH10238
HP2005-PCSH10240_00-CRYPTOBYPOWGI000 (Asia)|PCSH10240
HP2005-PCSH10242_00-METROPOLISLUX000 (Asia)|PCSH10242
HP2005-PCSH10243_00-DEEPONES00000000 (Asia)|PCSH10243
HP2005-PCSH10245_00-BUCKETKNIGHT0000 (Asia)|PCSH10245
HP2005-PCSH10248_00-TASKFORCEKAMPAS0 (Asia)|PCSH10248
HP2005-PCSH10250_00-TWINBREAKER00000 (Asia)|PCSH10250
HP2005-PCSH10251_00-DUCKSOULSPLUS000 (Asia)|PCSH10251
HP2005-PCSH10256_00-RANDOMHEROES0000 (Asia)|PCSH10256
HP2005-PCSH10294_00-SIGI000000000000 (Asia)|PCSH10294
HP2005-PCSH10295_00-DROWNING00000000 (Asia)|PCSH10295
HP2005-PCSH10296_00-PLANETRIX1300000 (Asia)|PCSH10296
HP2005-PCSH10297_00-BREEDERHOMEGROWN (Asia)|PCSH10297
HP2005-PCSH10298_00-AWINTERSDAYDREAM (Asia)|PCSH10298
HP2005-PCSH10299_00-TKTN000000000000 (Asia)|PCSH10299
HP2005-PCSH10320_00-BROTHERHOODUNITE (Asia)|PCSH10320
htoLNiQ - The Firefly Diary (USA)|PCSE00527
HTR+ Slot Car Simulation (USA)|PCSE00551
Hue (USA)|PCSE00996
Hulu (Japan) (PCSG01060)|PCSG01060
Hulu (Japan) (PCSG80007)|PCSG80007
Hulu Plus (USA)|PCSE00426
Hungry Giraffe (Europe)|PCSB00246
Hungry Horde, The (USA) (En,Fr,Es,Pt)|PCSA00563
Hustle Kings (USA) (En,Fr,Es,Pt)|PCSA00007
Hyakka Hyakurou - Sengoku Ninpoujou (Japan)|PCSG00713
Hyakka Ryouran Elixir - Record of Torenia Revival (Japan)|PCSG00518
Hyakka Yakou (Japan)|PCSG00477
Hyperdevotion Noire - Goddess Black Heart (USA)|PCSE00568
Hyperdimension Neptunia - Producing Perfection (USA)|PCSE00400
Hyperdimension Neptunia PP - Producing Perfection (Europe)|PCSB00515
Hyperdimension Neptunia Re;Birth1 (USA)|PCSE00443
Hyperdimension Neptunia Re;Birth2 - Sisters Generation (USA)|PCSE00508
Hyperdimension Neptunia Re;Birth3 - V Generation (USA)|PCSE00661
Hyperdimension Neptunia U - Action Unleashed (USA)|PCSE00588
I Am the Hero (USA)|PCSE01188
I and Me (USA)|PCSE01358
IA-VT - Colorful (Japan)|PCSG00355
Ice Cream Surfer (USA)|PCSE01245
Iconoclasts (USA)|PCSE01177
id - Rebirth Session (Japan)|PCSG00965
Idol Death Game TV (Japan)|PCSG00865
IDOLiSH7 Twelve Fantasia! (Japan)|PCSG01094
Idolmaster, The - Music Clips (Japan)|PCSG90206
Idolmaster, The - Must Songs - Aka-ban (Japan)|PCSG00677
Idolmaster, The - Must Songs - Ao-ban (Japan)|PCSG00678
Ikemen Bakumatsu - Unmei no Koi (Japan)|PCSG01020
Ikemen Sengoku - Toki o Kakeru Koi - Aratanaru Deai (Japan)|PCSG01063
Ikenie to Yuki no Setsuna (Japan)|PCSG00756
iKnow! (Japan)|PCSC80028
Illusion of L'Phalcia (USA)|PCSE01418
Imaginstruments (USA) (En,Fr,Es,Pt)|PCSA00113
Imasugu Oniichan ni Imouto Datte Iitai! (Japan)|PCSG00337
Indoor Sports World (USA)|PCSE00041
Infinita Strada (Japan)|?
Infinita Strada Hana (Asia) (En,Ja,Zh)|PCSH00278
Infinite Stratos 2 - Ignition Hearts (Japan)|PCSG00270
Infinite Stratos 2 - Love and Purge (Japan)|PCSG00584
Infinity App (Europe)|PCSB00837
Injustice - Gods Among Us - Ultimate Edition (USA) (En,Fr,Es,Pt)|PCSE00271
InkSplosion (USA)|PCSE01237
International Snooker (Europe)|PCSB00157
Invizimals - Hidden Challenges (USA)|PCSA00122
Invizimals - Nueva Alianza (Spain)|PCSF00533
Invizimals - The Alliance (USA) (En,Fr,Es,Pt)|PCSA00137
Invizimals - The Resistance (USA)|PCSA00552
Invokers Tournament (USA)|PCSE00637
iO (USA)|PCSE00876
Iron Sea Defenders (USA)|PCSE00966
Iron Snout (USA)|PCSE01369
Island (Japan)|PCSG01000
It's Spring Again (USA)|PCSE01119
Itadaki Street - Dragon Quest & Final Fantasy 30th Anniversary (Japan)|PCSG00932
Iwaihime - Matsuri (Japan)|PCSG01083
IxSHE Tell (Japan)|PCSG01297
J-Stars Victory Vs (Japan)|PCSG00300
J-Stars Victory Vs+ (USA)|PCSE00595
Jack N' Jill DX (USA)|PCSE01287
Jacob Jones and the Bigfoot Mystery (USA) (En,Fr,Es,Pt)|PCSA00108
Jak 3 (Europe)|PCSF00250
Jak and Daxter - The Precursor Legacy (Europe)|PCSF00248
Jak and Daxter Collection (USA) (En,Fr,Es)|PCSA00080
Jak II - Renegade (Europe)|PCSF00249
Jet Car Stunts (USA) (En,Fr,De,Es,It)|PCSE00393
Jet Set Radio (USA) (En,Fr,De,Es)|PCSE00088
Jetpack Joyride Deluxe (USA)|PCSE00537
Jikkyou Powerful Pro Yakyuu - Success Special (Japan)|PCSG00691
Jikkyou Powerful Pro Yakyuu 2013 (Japan)|PCSG00207
Jikkyou Powerful Pro Yakyuu 2014 (Japan)|PCSG00416
Jikkyou Powerful Pro Yakyuu 2016 (Japan)|PCSG00748
Jikkyou Powerful Pro Yakyuu 2018 (Japan)|PCSG01164
Jikkyou Powerful Pro Yakyuu Championship 2017 (Japan)|PCSG01045
Jikkyou Powerful Pro Yakyuu Championship 2018 (Japan)|PCSG01219
Joe Danger (USA) (En,Fr,Es)|PCSE00478
Joe Danger 2 - The Movie (USA) (En,Fr,Es)|PCSE00477
Joysound TV Plus (Japan)|PCSG00243
JP0007-PCSG00662_00-M5MG024TAKKNMAIN (Japan)|PCSG00662
JP0031-PCSG00448_00-IFMARGINALNUMBER (Japan)|PCSG00448
JP0031-PCSG00468_00-PSYCHEDELICAOFBB (Japan)|PCSG00468
JP0031-PCSG00485_00-IFVITAZUISOUROKU (Japan)|PCSG00485
JP0031-PCSG00576_00-HANAYAKAGENTOU01 (Japan)|PCSG00576
JP0031-PCSG00605_00-IFVITAREIMEIROKU (Japan)|PCSG00605
JP0031-PCSG00629_00-HAKUOKISHINKAI01 (Japan)|PCSG00629
JP0031-PCSG00635_00-JUUZAENGIPORTING (Japan)|PCSG00635
JP0031-PCSG00653_00-YUNOHANASPRING00 (Japan)|PCSG00653
JP0031-PCSG00790_00-WANDOFFORTUNER00 (Japan)|PCSG00790
JP0031-PCSG00808_00-TIERBLADE0000000 (Japan)|PCSG00808
JP0031-PCSG00811_00-HAKUOKISHINKAI02 (Japan)|PCSG00811
JP0031-PCSG00812_00-PSYCHEDELICAOFSH (Japan)|PCSG00812
JP0031-PCSG00853_00-PERIODCUBE000000 (Japan)|PCSG00853
JP0031-PCSG00855_00-HANAOBOROOTOMATE (Japan)|PCSG00855
JP0031-PCSG00930_00-IFVITAYUGIROKU00 (Japan)|PCSG00930
JP0031-PCSG01008_00-MG4ROADTOGALAXY0 (Japan)|PCSG01008
JP0031-PCSG01068_00-NEOANGELIQUE0000 (Japan)|PCSG01068
JP0031-PCSG01075_00-TIERBLADEFD00000 (Japan)|PCSG01075
JP0031-PCSG01131_00-FORTISSIMOPSVITA (Japan)|PCSG01131
JP0031-PCSG01158_00-KURENAINOHOMURA1 (Japan)|PCSG01158
JP0078-PCSG01291_00-LUCKSLINGERJAPAN (Japan)|PCSG01291
JP0078-PCSG01313_00-METAGALJAPAN0000 (Japan)|PCSG01313
JP0078-PCSG01323_00-TASKFORCEKAMPAS0 (Japan)|PCSG01323
JP0078-PCSG01326_00-XENOCRISIS000000 (Japan)|PCSG01326
JP0078-PCSG01331_00-TKTN000000000000 (Japan)|PCSG01331
JP0078-PCSG01336_00-BROTHERHOODUNITE (Japan)|PCSG01336
JP0082-PCSG00872_00-TWDS20000000GAME (Japan)|PCSG00872
JP0095-PCSG00596_00-0000000000000000 (Japan)|PCSG00596
JP0106-PCSG00251_00-SM7WXLGAMEJP0000 (Japan)|PCSG00251
JP0106-PCSG00771_00-DOAX300000000000 (Japan)|PCSG00771
JP0116-PCSG00345_00-KONOUTA000000000 (Japan)|PCSG00345
JP0117-PCSG00370_00-DRRRALLEYVMAIN00 (Japan)|PCSG00370
JP0177-PCSG00198_00-SAKATSUKUPSV2013 (Japan)|PCSG00198
JP0380-PCSG01197_00-CAFECUILLERE0000 (Japan)|PCSG01197
JP0393-PCSG00779_00-DSP300000PACKAGE (Japan)|PCSG00779
JP0393-PCSG00945_00-ARASI00DLPACKAGE (Japan)|PCSG00945
JP0393-PCSG01104_00-SENGODX000000000 (Japan)|PCSG01104
JP0404-PCSG01246_00-GALLERIA00000001 (Japan)|PCSG01246
JP0549-PCSG00529_00-JUSTYNASTY000000 (Japan)|PCSG00529
JP0549-PCSG00733_00-MELTYMOMENT00000 (Japan)|PCSG00733
JP0578-PCSG00595_00-KAMIGAMIIF000000 (Japan)|PCSG00595
JP0700-PCSG00670_00-GIRLFRIENDBETA00 (Japan)|PCSG00670
JP0700-PCSG00791_00-ASTERISK00000000 (Japan)|PCSG00791
JP0741-PCSG01294_00-GEROKASUZZZZZZZZ (Japan)|PCSG01294
JP0741-PCSG01325_00-AIKISSZZZZZZZZZZ (Japan)|PCSG01325
JP0745-PCSG00360_00-FPB060A000000000 (Japan)|PCSG00360
JP1138-PCSG01011_00-MATATABI00000002 (Japan)|PCSG01011
JP1485-PCSG00753_00-MYSTERIATRC2016K (Japan)|PCSG00753
Judas Code (Japan)|PCSG00390
Jungle Rumble - Freedom, Happiness, and Bananas (USA) (En,Ja)|PCSE00594
Just a Phrase by POWGI (USA)|PCSE01436
Just Ignore Them (USA) (En,Fr,De,Es)|PCSE01405
Kadenz Fermata - Akkord - Fortissimo (Japan)|PCSG00381
Kaeru Batake de Tsukamaete (Japan)|PCSG00501
Kagero - Darkside Princess (Japan)|PCSG00304
Kagero - Mou Hitori no Princess (Japan)|PCSG00565
KairiseiMA (Japan)|PCSG00750
Kajiri Kamui Kagura - Akebono no Hikari (Japan)|PCSG00172
Kaku-San-Sei Million Arthur (Japan)|PCSG00182
Kamaitachi no Yoru - Rinne Saisei (Japan)|PCSG01007
Kamen Rider - Battride War Sousei (Japan)|PCSG00675
Kami Jijigen Game Neptune Re;Birth 3 - V Century (Japan)|PCSG00486
Kamidanomi Shisugite Ore no Mirai ga Yabai (Japan)|PCSG01106
KanColle Kai (Japan)|PCSG00684
Kangokutou Mary-Skelter (Japan)|PCSG00898
Kannagi no Mori - Satsukiame Tsuzuri (Japan)|PCSG01268
Kanojo Step (Japan)|PCSG01182
Karigurashi Renai (Japan)|PCSG01253
Karumaruka - Circle (Japan)|PCSG01044
Katahane - An' Call Belle (Japan)|PCSG01153
Katamari Damacy No-Vita (Japan)|PCSG00018
Kawaii Deathu Desu (Japan)|PCSG01332
Kazoku Keikaku - Re-Tsumugu Ito (Japan)|PCSG90145
Keeper of 4 Elements, The (USA)|PCSE00441
Ken ga Kimi - Momoyo Tsuzuri (Japan)|PCSG00960
Ken ga Kimi for V (Japan)|PCSG00553
Kenka Banchou Otome (Japan)|PCSG00829
Kenka Banchou Otome - 2nd Rumble!! (Japan)|PCSG01241
Kenka Banchou Otome - Kanzen Muketsu no My Honey (Japan)|PCSG01042
Kick & Fennick (USA) (En,Ja,Fr,De,Es,It)|PCSE00485
KickBeat (USA)|PCSE00113
Kid Tripp (USA)|PCSE01420
Kidou Senshi Gundam - Battle Fortress (Japan)|PCSG00579
Kidou Senshi Gundam - Battle Operation Support Appli (Japan)|PCSG00191
Kidou Senshi Gundam - Extreme VS Force (Japan)|PCSG00738
Kilka Card Gods (USA) (En,Fr,Es,Pt)|PCSE00473
Killer Dolls United (USA)|PCSE01515
Killzone - Mercenary (USA)|PCSA00107
Kimi no Hitomi ni Hit Me (Japan)|PCSG01087
Kimi o Aogi Otome wa Hime ni (Japan)|PCSG00913
Kin'iro Loveriche (Japan)|PCSG01318
Kin'iro no Corda - Octave (Japan)|PCSG01245
Kin'iro no Corda 4 (Japan)|PCSG00774
King Oddball (USA)|PCSE00315
King of Fighters '97, The - Global Match (USA)|PCSE01224
Kiniro no Corda 2 ff (Japan)|PCSG01124
Kiniro no Corda 3 - Another Sky feat. Jinnan - Shiseikan - Amane Gakuen (Japan)|PCSG01212
Kiniro no Corda 3 - Full Voice Special (Japan)|PCSG01211
Kiss Ato (Japan)|PCSG00742
KissBell (Japan)|PCSG00413
KLAP!! - Kind Love and Punish (Japan)|PCSG00478
KLAP!! - Kind Love and Punish - Fun Party (Japan)|PCSG00970
Knight Solitaire (USA)|PCSE00752
Knightin'+ (USA) (En,Ja,Fr,De,Es,It,Pt,Zh,Pl,Ru)|PCSE01444
Knobswitch (USA)|PCSE00957
Knock-Knock (USA)|PCSE00849
Knytt Underground (USA) (En,Fr,Es)|PCSE00092
Koezaru wa Akai Hana - Koi wa Tsuki ni Michibikareru (Japan)|PCSG00850
Koi (USA)|PCSE01040
Koisuru Otome to Shugo no Tate - Bara no Seibo (Japan)|PCSG01299
Kono Aozora ni Yakusoku o (Japan)|PCSG00761
Kono Oozora ni, Tsubasa o Hirogete - Cruise Sign (Japan)|PCSG00357
Kono Suba - Attack of the Destroyer (Japan)|PCSG01093
Kono Subarashii Sekai ni Shukufuku o! - Kono Damegami ni Kyouiku o! (Japan)|PCSG01265
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan wo! (Japan)|PCSG01028
Kono Subarashii Sekai ni Syukufuku wo! Kibou no Meikyuu to Tsudoishi Boukenshatachi (Japan)|PCSG01258
Koroshiya to Strawberry (Japan)|PCSG01132
Koshotengai no Hashihime Noma (Japan)|PCSG01213
KP5014-PCSH00061_00-SGFD20000000VITA (Korea)|PCSH00061
KP5014-PCSH00062_00-STEINSGATEVITA01 (Korea)|PCSH00062
KP5014-PCSH00063_00-STEINSGATEHDVITA (Korea)|PCSH00063
KP5014-PCSH00165_00-VITAROBOELITE000 (Korea)|PCSH00165
KP5014-PCSH00259_00-STEINSGATEZEROPV (Korea)|PCSH00259
Krinkle Krusher (USA)|PCSE00585
Kud Wafter - Converted Edition (Japan)|PCSG00273
Kujiragami no Tearstilla (Japan)|PCSG00894
Kung Fu Rabbit (USA) (En,Fr,Es,Pt)|PCSE00256
Kung Fury - Street Rage (USA)|PCSE01036
Kurogane Kaikijong (Japan)|PCSG00609
Kurogane Kaikitan - Ichi-go Ichi-e (Japan)|PCSG00641
Kyokugen Dasshutsu ADV - Zennin Shiboudesu (Japan)|PCSG00020
Kyoukai no Shirayuki (Japan)|PCSG00787
La-Mulana EX (USA) (En,Ja,Fr,De,Es,Ru)|PCSE00567
Lara Croft GO (USA)|PCSE00985
Laser Disco Defenders (USA)|PCSE00902
Last Blade 2, The (USA)|PCSE00848
Last Wings (USA)|PCSE00856
League of Evil (USA)|PCSE01085
Legend of Dark Witch, The (USA)|PCSE01049
Legend of Heroes, The - Ao no Kiseki Evolution (Asia)|PCSH10113
Legend of Heroes, The - Sora no Kiseki FC Evolution (Asia)|PCSH00178
Legend of Heroes, The - Sora No Kiseki SC Evolution (Asia)|PCSH10060
Legend of Heroes, The - Sora No Kiseki the 3rd Evolution (Asia)|PCSH10082
Legend of Heroes, The - Trails of Cold Steel (USA)|PCSE00786
Legend of Heroes, The - Trails of Cold Steel II (USA)|PCSE00896
Legend of Heroes, The - Zero no Kiseki Evolution (Asia)|PCSH10111
Legend of the Skyfish (USA)|PCSE01426
Legends of War - Patton (USA)|PCSE00254
LEGO Batman 2 - DC Super Heroes (USA)|PCSE00061
LEGO Batman 3 - Beyond Gotham (USA)|PCSE00442
LEGO Harry Potter - Years 5-7 (USA)|PCSE00057
LEGO Jurassic World (USA)|PCSE00587
LEGO Legends of Chima - Laval's Journey (USA)|PCSE00237
LEGO Marvel Super Heroes - Universe in Peril (USA) (En,Fr,Es,Pt)|PCSE00250
LEGO Marvel's Avengers (USA)|PCSE00670
LEGO Movie Videogame, The (USA) (En,Fr,Es,Pt)|PCSE00353
LEGO Ninjago - Nindroids (USA)|PCSE00384
LEGO Ninjago - Shadow of Ronin (USA)|PCSE00534
LEGO Star Wars - The Force Awakens (USA)|PCSE00791
LEGO The Hobbit (USA)|PCSE00390
LEGO The Lord of the Rings (USA)|PCSE00067
Lemmings Touch (USA)|PCSA00138
Let's Fish! Hooked On (USA) (En,Fr,Es)|PCSE00216
Let's Try Bass Fishing - FISH ON NEXT (Japan)|PCSG00028
Letter Quest Remastered (USA)|PCSE00825
Level 22 (USA)|PCSE00766
Lichtspeer (USA)|PCSE01010
Licky the Lucky Lizard Lives Again (USA)|PCSE01148
Limbo (USA) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru,Tr)|PCSE00268
Link-a-Pix Deluxe (USA)|PCSE01285
Little Adventure on the Prairie (USA)|PCSE01231
Little Busters! Converted Edition (Japan)|PCSG00007
Little Deviants (USA) (En,Fr,Es,Pt)|PCSA00010
Little Red Lie (USA)|PCSE01218
LittleBigPlanet (USA)|PCSA00017
LittleBigPlanet - Marvel Super Hero Edition (USA)|PCSA00549
London Detective Mysteria (USA)|PCSE01187
Lone Survivor - The Director's Cut (USA) (En,Fr)|PCSE00301
Long Reach, The (USA)|PCSE01162
Longest Five Minutes, The (USA)|PCSE00993
Looney Tunes Galactic Sports (Europe)|PCSF00441
Lord of Apocalypse (Japan)|PCSG00008
Lost Child, The (USA)|PCSE01179
Lost Dimension (USA)|PCSE00673
Love Clear (Japan)|PCSG01314
Love Live! School Idol Paradise Vol. 1 - Printemps (Japan)|PCSG00422
Love Live! School Idol Paradise Vol. 2 - BiBi (Japan)|PCSG00423
Love Live! School Idol Paradise Vol. 3 - Lily White (Japan)|PCSG00424
Love of Ren'ai Koutei of Love! (Japan)|PCSG01004
Love Revenge Trial (Japan)|PCSG90185
Love-Quiz - Koisuru Shoujo no Final Answer (Japan)|PCSG00667
Lovely Cation 1 & 2 (Japan)|PCSG00556
Lovely Quest Unlimited (Japan)|PCSG00336
Luckslinger (Asia)|PCSH10290
Lucky Dog 1 (Japan)|PCSG01165
Luftrausers (USA)|PCSE00247
Lumines - Electronic Symphony (USA) (En,Fr,Es)|PCSE00009
Luminous Arc Infinity (Japan)|PCSG00444
Lumo (USA)|PCSE00857
M3 - Sono Kuroki Hagane - Mission Memento Mori (Japan)|PCSG00475
Machinarium (USA)|PCSE00212
Macross Delta Scramble (Japan)|PCSG00947
Madden 13 (USA)|PCSE00084
Magic-kyun! Renaissance (Japan)|PCSG00852
Magical Beat (USA)|PCSE00457
Mahjong Carnival (USA)|PCSE00749
Mahjong Fight Club - Shinsei Zenkoku Taisen Han (Japan)|PCSG00029
Mahjong Gold (USA)|PCSE00455
Mahjong Royal Towers (USA)|PCSE00287
Mahjong World Contest (USA)|PCSE00396
Mahou Shoujo Taisen Zanbatsu (Japan) (PCSG00392)|PCSG00368
Mahouka Koukou no Rettousei - Out of Order (Japan)|PCSG00456
Maison de Maou (Japan)|PCSG00856
Majo Koi Nikki - Dragon x Caravan (Japan)|PCSG00770
Making Lovers (Japan)|PCSG01284
Malicious Rebirth (USA)|PCSA00127
Maliya (USA)|PCSE00736
Manga Kakeru (Japan)|PCSG00340
Mary Skelter - Nightmares (USA)|PCSE01014
Mato Kurenai Yuugekitai - Daybreak Special Gigs (Japan)|PCSG00634
Mecho Tales (USA)|PCSE01158
Mecho Wars - Desert Ashes (USA)|PCSE01264
Medieval Defenders (USA)|PCSE00687
MegaTagmension Blanc + Neptune vs. Zombies (USA)|PCSE00832
Meiji Toukyou Renka - Full Moon (Japan)|PCSG00896
Meikyuu Cross Blood - Infinity Ultimate (Japan)|PCSG00398
MeiQ (Japan)|PCSG00258
MeiQ - Labyrinth of Death (USA)|PCSE00918
MeiQ no Chika Ni Shisu - A Maze to Eradicate Them All (Asia)|PCSH00294
Mekabolt (USA)|PCSE01428
Mekorama (USA) (En,Ja,Fr,De,Es,Zh)|PCSE01390
Mellkiss (Japan)|PCSG01285
Memories Off - Innocent Fille (Asia)|PCSH10133
Memories Off - Innocent Fille for Dearest (Japan)|PCSG01264
